Mois,Energie_TWh_ODS,Production_kW,Consommation_kW,Deficit_kW
Janvier,29.44,98832506.15,141310964.95,42478458.8
Février,16.93,106342971.8,128272996.98,21930025.19
Mars,2.35,149905974.16,120357087.86,-29548886.31
Avril,1.57,143173676.85,112208357.88,-30965318.98
Mai,0.0,130214025.99,77052408.53,-53161617.46
Juin,0.0,150244279.43,77052408.53,-73191870.91
Juillet,0.0,153936460.19,77052408.53,-76884051.66
Août,0.0,125941925.4,77052408.53,-48889516.88
Septembre,0.0,123851094.7,77052408.53,-46798686.17
Octobre,9.79,120349473.12,102895523.61,-17453949.51
Novembre,26.14,91133231.25,127807355.27,36674124.02
Décembre,28.6,92533068.46,132696593.26,40163524.79
